Brand,Knife,Steel ,Fe (Iron),C (Carbon),Cr (Chromium),Co (Cobalt),Cu (Copper),Mn (Manganese),Mo (Molybdenum),N (Nickel),Nb (Niobium),N (Nitrogen),Phosphorous (P),Si (Silicon),Sulfur (S),Ti (titanium),W (Tungsten),V (Vanadium),Cuts,Sharperner,Edge angle,Edge finish,Video date,Link,Pete's comments,Count Steel+sharpener,Sharpener,Count Steel+angle,Angle
Spyderco,Mule Team,52100,96.93,1.00,1.45,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.03,0.23,0.03,0.00,0.00,0.00,370,KME,17,Polished,4/18/2019,https://www.youtube.com/watch?v=ZXz-CIv5NhY,,1,KME,1,17
Ontario,Bushcraft Field Kinife,5160,97.52,0.60,0.80,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.04,0.23,0.00,0.00,0.00,0.00,59,Worksharp,20,,2/11/2017,https://www.youtube.com/watch?v=pYeOSKkaJbA,,1,Worksharp,1,20
Erickson Knife Works,Small Fixed Blade,W2,97.48,1.18,0.15,0.00,0.00,0.25,0.10,0.20,0.00,0.00,0.00,0.25,0.00,0.00,0.15,0.25,550,Factory,,,7/22/2019,https://www.youtube.com/watch?v=BnR8X2GCny0,,1,Factory,,
Real Steel,E571,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,71,Worksharp,20,,12/17/2016,https://www.youtube.com/watch?v=SO2maqvQgCA,,1,Worksharp,1,20
Ruike,P831-SF,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,70,Worksharp,20,,10/14/2017,https://www.youtube.com/watch?v=1oKiuh9d1yI,,2,Worksharp,2,20
Morakniv,Garberg,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,30,Factory,,,12/13/2017,https://www.youtube.com/watch?v=dPykCjsP1Nk,,1,Factory,,
Morakniv,Garberg,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,88,Worksharp,20,,12/13/2017,https://www.youtube.com/watch?v=dPykCjsP1Nk,,3,Worksharp,3,20
Morakniv,Garberg,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,105,Tormek,21,V-grind,12/13/2017,https://www.youtube.com/watch?v=dPykCjsP1Nk,,1,Other,1,21
Morakniv,Garberg,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,84,Stones,,Scandivex,12/13/2017,https://www.youtube.com/watch?v=dPykCjsP1Nk,,2,Other,,
Ruike,P801,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,105,Lansky,17,Polished,2/28/2018,https://www.youtube.com/watch?v=WJau5e-ZwPY,,1,Lansky,1,17
Ruike,P801SB,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,15,Tormek,12,,6/16/2018,https://www.youtube.com/watch?v=Tstwjn525jQ,Rolled too quickly,3,Other,1,12
Ruike,P801SB,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,215,Tormek,12,Microbevel,6/16/2018,https://www.youtube.com/watch?v=Tstwjn525jQ,,4,Other,2,12
Ruike,P852,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,90,Factory,,,11/29/2018,https://www.youtube.com/watch?v=-WP2ti3dkoU&t=7s,,2,Factory,,
Spyderco,Mule Team,B70P,80.93,1.10,14.00,0.00,0.00,0.40,2.00,0.00,0.25,0.00,0.01,0.30,0.01,0.00,0.00,1.00,450,KME,17,Polished,6/8/2019,https://www.youtube.com/watch?v=4uczlhcAYWE,,1,KME,1,17
Spyderco,Mule Team,B75P,78.30,1.15,14.50,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,1.25,325,KME,17,Polished,6/8/2019,https://www.youtube.com/watch?v=4uczlhcAYWE,,1,KME,1,17
Benchmade,Griptillian,CPM 20CV,71.90,1.90,20.00,0.00,0.00,0.30,1.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,4.00,351,Worksharp,20,,8/16/2017,https://www.youtube.com/watch?v=2v6NbEed7rA,,1,Worksharp,1,20
ZT,0470,CPM 20CV,71.90,1.90,20.00,0.00,0.00,0.30,1.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,4.00,150,Factory,,,12/5/2018,https://www.youtube.com/watch?v=QJF4simAb3M,,1,Factory,,
ZT,0470,CPM 20CV,71.90,1.90,20.00,0.00,0.00,0.30,1.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,4.00,375,KME,17,1500 grit + 3000 grit strop,12/5/2018,https://www.youtube.com/watch?v=QJF4simAb3M,,1,KME,1,17
Leatherman,Skeletool CX,154 CM,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,124,Worksharp,20,,12/23/2016,https://www.youtube.com/watch?v=MzBR1jnYURs,,1,Worksharp,1,20
Leatherman,Charge Plus,154 CM,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,150,Tormek,21,,6/27/2018,https://www.youtube.com/watch?v=DLWil_ECChU,,1,Other,1,21
Ontario,SK-5,154 CM,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,100,Factory,,,10/31/2018,https://www.youtube.com/watch?v=dtdZJYDUVPk,,1,Factory,,
Emerson,A100,154 CM,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,136,Factory,25,,2/27/2019,https://www.youtube.com/watch?v=GxUlvisym08,Chisel grind edge,2,Factory,1,25
Emerson,A100,154 CM,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,225,KME,25,Polished,2/27/2019,https://www.youtube.com/watch?v=GxUlvisym08,Chisel grind edge,1,KME,2,25
Bark River,MKB-9 FOBOS Design,CPM 154,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,186,Factory,,,11/15/2018,https://www.youtube.com/watch?v=C1SIxuq0Tzw,,1,Factory,,
Spyderco,Stretch 2,V-Toku 2,96.09,1.05,0.35,0.00,0.00,0.40,0.00,0.25,0.00,0.00,0.03,0.35,0.03,0.00,1.25,0.20,190,Factory,,,3/18/2019,https://www.youtube.com/watch?v=H7Z0Grez_OU,,1,Factory,,
Spyderco,Stretch 2,V-Toku 2,96.09,1.05,0.35,0.00,0.00,0.40,0.00,0.25,0.00,0.00,0.03,0.35,0.03,0.00,1.25,0.20,420,KME,17,Polished,3/18/2019,https://www.youtube.com/watch?v=H7Z0Grez_OU,,1,KME,1,17
Cold Steel,Voyager,CTS BD1,81.98,0.90,15.75,0.00,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.10,112,Worksharp,20,,1/16/2017,https://www.youtube.com/watch?v=eD2zglgua-I,,1,Worksharp,1,20
Spyderco,Endura,ZDP 189,68.60,3.00,20.00,0.00,0.00,0.50,1.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,6.00,0.10,336,Worksharp,20,,3/23/2017,https://www.youtube.com/watch?v=pF_zPMBhub8,,1,Worksharp,1,20
Spyderco,Dragonfly II,ZDP 189,68.60,3.00,20.00,0.00,0.00,0.50,1.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,6.00,0.10,380,Factory,15,,6/7/2018,https://www.youtube.com/watch?v=liIOL9SdXOs,,1,Factory,1,15
Spyderco,Dragonfly II,ZDP 189,68.60,3.00,20.00,0.00,0.00,0.50,1.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,6.00,0.10,450,Lansky,16,Polished,6/7/2018,https://www.youtube.com/watch?v=liIOL9SdXOs,,1,Lansky,1,16
Spyderco,Dragonfly II,ZDP 189,68.60,3.00,20.00,0.00,0.00,0.50,1.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,6.00,0.10,330,Worksharp,20,,6/7/2018,https://www.youtube.com/watch?v=liIOL9SdXOs,,2,Worksharp,2,20
Spyderco,Endura,ZDP 189,68.60,3.00,20.00,0.00,0.00,0.50,1.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,6.00,0.10,345,Factory,20,,4/8/2019,https://www.youtube.com/watch?v=IYIiKv8N7Lk,,2,Factory,3,20
Spyderco,Endura,ZDP 189,68.60,3.00,20.00,0.00,0.00,0.50,1.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,6.00,0.10,840,KME,17,Polished,4/8/2019,https://www.youtube.com/watch?v=IYIiKv8N7Lk,,1,KME,1,17
Spyderco,Pingo,N690,78.12,1.08,17.30,1.50,0.00,0.40,1.10,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.10,87,Worksharp,20,,4/21/2017,https://www.youtube.com/watch?v=3ZMVqpqBRD4,,1,Worksharp,1,20
Cudeman,MT5,N695,78.12,1.08,17.30,1.50,0.00,0.40,1.10,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.10,60,Factory,,,5/13/2018,https://www.youtube.com/watch?v=MI8bJp5Yb9o,,1,Factory,,
Cudeman,MT5,N695,78.12,1.08,17.30,1.50,0.00,0.40,1.10,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.10,100,Lansky,20,Toothy,5/13/2018,https://www.youtube.com/watch?v=MI8bJp5Yb9o,,1,Lansky,1,20
Cudeman,MT5,N695,78.12,1.08,17.30,1.50,0.00,0.40,1.10,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.10,410,Tormek,12,,7/9/2018,https://www.youtube.com/watch?v=wXLgBC8p5g4,,1,Other,1,12
Cold Steel,Broken Skull,CTS XHP,79.90,1.60,16.00,0.00,0.00,0.50,0.80,0.35,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.45,242,Worksharp,20,,1/10/2017,https://www.youtube.com/watch?v=W7D98zJE1bM,,1,Worksharp,1,20
Spyderco,Chaparral,CTS XHP,79.90,1.60,16.00,0.00,0.00,0.50,0.80,0.35,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.45,295,Unknown,,Polished V-grind,4/29/2017,https://www.youtube.com/watch?v=7afioWYuah4,,1,Other,,
Cold Steel,American Lawman,CTS XHP,79.90,1.60,16.00,0.00,0.00,0.50,0.80,0.35,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.45,370,Lansky,17,Polished,2/4/2018,https://www.youtube.com/watch?v=-7RJi6oRWSE,,1,Lansky,1,17
Cold Steel,American Lawman,CTS XHP,79.90,1.60,16.00,0.00,0.00,0.50,0.80,0.35,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.45,600,Tormek,12,,6/28/2018,https://www.youtube.com/watch?v=ilGq1TBBkhI,,2,Other,1,12
Spyderco,Chaparral,CTS XHP,79.90,1.60,16.00,0.00,0.00,0.50,0.80,0.35,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.45,450,KME,18,Polished,3/22/2019,https://www.youtube.com/watch?v=Hz73CvjVbnA,,1,KME,1,18
Spyderco,Junction,PSF27,83.60,1.55,12.00,0.00,0.00,0.40,0.75,0.00,0.00,0.30,0.00,0.40,0.00,0.00,0.00,1.00,375,Factory,20,,3/22/2019,https://www.youtube.com/watch?v=Hz73CvjVbnA,,1,Factory,1,20
Spyderco,Junction,PSF27,83.60,1.55,12.00,0.00,0.00,0.40,0.75,0.00,0.00,0.30,0.00,0.40,0.00,0.00,0.00,1.00,550,KME,17,Polished,3/22/2019,https://www.youtube.com/watch?v=Hz73CvjVbnA,,1,KME,1,17
Spyderco,Mule Team,PSF27,83.60,1.55,12.00,0.00,0.00,0.40,0.75,0.00,0.00,0.30,0.00,0.40,0.00,0.00,0.00,1.00,450,KME,17,Polished,7/25/2019,https://www.youtube.com/watch?v=91OyDvPu-Rc,,2,KME,2,17
ZT,0180,Vanadis 4 Extra,86.00,1.40,4.70,0.00,0.00,0.40,3.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,3.70,225,Worksharp,20,,7/19/2017,https://www.youtube.com/user/CedricAda/videos,Knife was very uncomfortable for testing,1,Worksharp,1,20
ZT,0180,Vanadis 4 Extra,86.00,1.40,4.70,0.00,0.00,0.40,3.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,3.70,294,Unknown,,Toothy V-grind,8/22/2017,https://www.youtube.com/watch?v=HR23OG3KroE,,1,Other,,
Bradford,Guardian 4,Vanadis 4 Extra,86.00,1.40,4.70,0.00,0.00,0.40,3.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,3.70,675,KME,18,Polished,3/18/2019,https://www.youtube.com/watch?v=5D3GJn1qzLM,,1,KME,1,18
DB Blades,EDC,AEB-L,85.45,0.68,12.80,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.01,0.40,0.01,0.00,0.00,0.00,108,Worksharp,20,,8/21/2017,https://www.youtube.com/watch?v=_1nw5NIPSWQ,,1,Worksharp,1,20
Opinal,DYI,12C27M,83.95,0.52,14.50,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.03,0.40,0.01,0.00,0.00,0.00,55,Worksharp,20,,10/25/2017,https://www.youtube.com/watch?v=guJiPuhdkQE,,1,Worksharp,1,20
Morakniv,?,12C27,85.07,0.60,13.50,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.03,0.40,0.01,0.00,0.00,0.00,88,Stones,,Scandi,1/17/2017,https://www.youtube.com/watch?v=68idBJFxuUE,,1,Other,,
Greystone,custom,12C27,85.07,0.60,13.50,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.03,0.40,0.01,0.00,0.00,0.00,85,Worksharp,20,,11/5/2017,https://www.youtube.com/watch?v=kpBanPGhdSw,,1,Worksharp,1,20
Morakniv,Companion,12C27,85.07,0.60,13.50,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.03,0.40,0.01,0.00,0.00,0.00,70,Factory,,,10/31/2018,https://www.youtube.com/watch?v=dtdZJYDUVPk,,1,Factory,,
Gerber,Index,5Cr15MoV,83.57,0.50,15.00,0.00,0.00,0.34,0.06,0.00,0.00,0.00,0.03,0.41,0.00,0.00,0.00,0.10,37,Worksharp,20,,10/14/2017,https://www.youtube.com/watch?v=1oKiuh9d1yI,,1,Worksharp,1,20
Tangram,Santa Fe,ACUTO 440,79.56,0.88,17.50,0.00,0.00,0.33,1.00,0.00,0.00,0.00,0.20,0.43,0.02,0.00,0.00,0.10,80,Worksharp,20,,8/10/2018,https://www.youtube.com/watch?v=c4VJ-A6jcXo,,1,Worksharp,1,20
Tangram,Santa Fe,ACUTO 440,79.56,0.88,17.50,0.00,0.00,0.33,1.00,0.00,0.00,0.00,0.20,0.43,0.02,0.00,0.00,0.10,90,Factory,18,,8/10/2018,https://www.youtube.com/watch?v=c4VJ-A6jcXo,,1,Factory,1,18
Tangram,Santa Fe,ACUTO 440,79.56,0.88,17.50,0.00,0.00,0.33,1.00,0.00,0.00,0.00,0.20,0.43,0.02,0.00,0.00,0.10,180,KME,17,"Polished (160,000)",8/10/2018,https://www.youtube.com/watch?v=c4VJ-A6jcXo,,1,KME,1,17
Tonife,Luminescence,8Cr14MoV,83.47,0.80,14.50,0.00,0.00,0.16,0.22,0.22,0.00,0.00,0.03,0.45,0.01,0.00,0.00,0.14,56,Worksharp,20,,1/19/2018,https://www.youtube.com/watch?v=RWrK-ksUmBg,,1,Worksharp,1,20
CRKT,Pilar,8Cr14Mov,83.47,0.80,14.50,0.00,0.00,0.16,0.22,0.22,0.00,0.00,0.03,0.45,0.01,0.00,0.00,0.14,90,,,Factory,9/9/2019,https://www.youtube.com/watch?v=oSr5F3oI32g,,#REF!,#REF!,,
CRKT,Swindle,8Cr13MoV,84.82,0.80,13.00,0.00,0.00,0.40,0.15,0.20,0.00,0.00,0.02,0.50,0.01,0.00,0.00,0.10,39,Worksharp,20,,12/27/2016,https://www.youtube.com/watch?v=EOqKP9dKknc,,1,Worksharp,1,20
CRKT,Noma,8Cr13MoV,84.82,0.80,13.00,0.00,0.00,0.40,0.15,0.20,0.00,0.00,0.02,0.50,0.01,0.00,0.00,0.10,55,Factory,,,9/14/2017,https://www.youtube.com/watch?v=SXgpMZOCQBM,,1,Factory,,
CRKT,Noma,8Cr13MoV,84.82,0.80,13.00,0.00,0.00,0.40,0.15,0.20,0.00,0.00,0.02,0.50,0.01,0.00,0.00,0.10,48,Worksharp,20,,9/14/2017,https://www.youtube.com/watch?v=SXgpMZOCQBM,,2,Worksharp,2,20
Y-Start,Jin01,8Cr13MoV,84.82,0.80,13.00,0.00,0.00,0.40,0.15,0.20,0.00,0.00,0.02,0.50,0.01,0.00,0.00,0.10,42,Worksharp,20,,9/25/2017,https://www.youtube.com/watch?v=XMeMNNCbRU4,Mislabeled as D2? Won't be added to graphs until clarified by Pete,3,Worksharp,3,20
Y-Start,Jin01,8Cr13MoV,84.82,0.80,13.00,0.00,0.00,0.40,0.15,0.20,0.00,0.00,0.02,0.50,0.01,0.00,0.00,0.10,45,Worksharp,20,,9/25/2017,https://www.youtube.com/watch?v=XMeMNNCbRU4,Mislabeled as D2? Won't be added to graphs until clarified by Pete,4,Worksharp,4,20
Kershaw,Atmos,8Cr13MoV,84.82,0.80,13.00,0.00,0.00,0.40,0.15,0.20,0.00,0.00,0.02,0.50,0.01,0.00,0.00,0.10,40,Factory,20,,5/20/2018,https://www.youtube.com/watch?v=TjW70Qjks_c,,2,Factory,5,20
Kershaw,Atmos,8Cr13MoV,84.82,0.80,13.00,0.00,0.00,0.40,0.15,0.20,0.00,0.00,0.02,0.50,0.01,0.00,0.00,0.10,55,Worksharp,20,,5/20/2018,https://www.youtube.com/watch?v=TjW70Qjks_c,,5,Worksharp,6,20
Kershaw,Atmos,8Cr13MoV,84.82,0.80,13.00,0.00,0.00,0.40,0.15,0.20,0.00,0.00,0.02,0.50,0.01,0.00,0.00,0.10,135,Tormek,12,Polished,6/12/2018,https://www.youtube.com/watch?v=fScih1kDlVA,,1,Other,1,12
CRKT,LCK,8Cr13MoV,84.82,0.80,13.00,0.00,0.00,0.40,0.15,0.20,0.00,0.00,0.02,0.50,0.01,0.00,0.00,0.10,130,KME,17,Polished,3/21/2019,https://www.youtube.com/watch?v=sXnB17rmj5g,,1,KME,1,17
Cold Steel,Pocket Bushman,4116,83.58,0.48,14.40,0.00,0.00,0.40,0.50,0.00,0.00,0.00,0.02,0.50,0.00,0.00,0.00,0.13,67,Worksharp,20,,5/11/2017,https://www.youtube.com/watch?v=BMmmLgCregk,,1,Worksharp,1,20
Cold Steel,Working Man,4116,83.58,0.48,14.40,0.00,0.00,0.40,0.50,0.00,0.00,0.00,0.02,0.50,0.00,0.00,0.00,0.13,58,Factory,,,5/21/2018,https://www.youtube.com/watch?v=F5b-LhGlmo4,,1,Factory,,
Ontario,Wraith,4116,83.58,0.48,14.40,0.00,0.00,0.40,0.50,0.00,0.00,0.00,0.02,0.50,0.00,0.00,0.00,0.13,140,Tormek,13,,6/21/2018,https://www.youtube.com/watch?v=9iAcuYbj6Tg,,1,Other,1,13
Foolhardy Knifeworks,Custom,RWL34,79.75,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.20,186,Worksharp,20,,3/17/2018,https://www.youtube.com/watch?v=E3UJ0YG8S9w,,1,Worksharp,1,20
Spyderco,Mule Team,RWL34,79.75,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.20,475,KME,17,Polished,4/23/2019,https://www.youtube.com/watch?v=Q8P2mX3YWJg,,1,KME,1,17
Tindall Knives,Sawtooth Hunter,O-1,96.28,0.93,0.50,0.00,0.00,1.20,0.00,0.30,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.30,109,Worksharp,20,,5/19/2017,https://www.youtube.com/watch?v=xL1h_Ko5MAs,,1,Worksharp,1,20
L.T. Wright,Genesis,A2,90.35,1.00,5.38,0.00,0.00,1.00,1.15,0.30,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.33,216,Stones,,Scandi,1/27/2017,https://www.youtube.com/watch?v=ckXch3xxZ8s,,1,Other,,
Bark River,JX6,A2,90.35,1.00,5.38,0.00,0.00,1.00,1.15,0.30,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.33,191,Worksharp,20,,7/28/2017,https://www.youtube.com/watch?v=Cd5fiEH3S8w,Mislabeled as CPM154,1,Worksharp,1,20
Fallkniven,U2,SGPS,77.84,1.40,15.00,0.00,0.00,0.40,2.80,0.00,0.00,0.00,0.03,0.50,0.03,0.00,0.00,2.00,291,Worksharp,20,,7/27/2017,https://www.youtube.com/watch?v=rhL749LYg5k,Same as SG2,1,Worksharp,1,20
Spyderco,Para 3,CPM Rex 45,71.49,1.30,4.05,8.00,0.00,0.30,5.00,0.00,0.00,0.00,0.00,0.50,0.06,0.00,6.25,3.05,470,Factory,18,,2/17/2018,https://www.youtube.com/watch?v=pYq5ysJ4D5g,,1,Factory,1,18
Spyderco,Para 3,CPM Rex 45,71.49,1.30,4.05,8.00,0.00,0.30,5.00,0.00,0.00,0.00,0.00,0.50,0.06,0.00,6.25,3.05,590,KME,17,Polished,2/17/2018,https://www.youtube.com/watch?v=pYq5ysJ4D5g,,1,KME,1,17
ZT,0909,CPM S35VN,77.12,1.38,14.00,0.00,0.00,0.50,2.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,4.00,109,Worksharp,20,,12/23/2016,https://www.youtube.com/watch?v=hGcO0r1QP4c,,1,Worksharp,1,20
ZT,0909,CPM S35VN,77.12,1.38,14.00,0.00,0.00,0.50,2.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,4.00,113,Worksharp,20,,1/16/2017,https://www.youtube.com/watch?v=Zy43RBUH_MQ,,2,Worksharp,2,20
ZT,0450,CPM S35VN,77.12,1.38,14.00,0.00,0.00,0.50,2.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,4.00,89,Tormek,,,3/28/2017,https://www.youtube.com/watch?v=yDxSG6xbl7M,,1,Other,,
ZT,0450,CPM S35VN,77.12,1.38,14.00,0.00,0.00,0.50,2.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,4.00,30,Worksharp,20,,3/28/2017,https://www.youtube.com/watch?v=yDxSG6xbl7M,Pete didn't include this in his test results,3,Worksharp,3,20
Kizer,Gemini,CPM S35VN,77.12,1.38,14.00,0.00,0.00,0.50,2.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,4.00,198,Worksharp,20,,3/29/2017,https://www.youtube.com/watch?v=NfIVmhka_qg,,4,Worksharp,4,20
Chris Reeve,Sebenza,CPM S35VN,77.12,1.38,14.00,0.00,0.00,0.50,2.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,4.00,187,Worksharp,20,,4/29/2017,https://www.youtube.com/watch?v=LQjyLk5B7XI,,5,Worksharp,5,20
LA Police Gear,TBFK,CPM S35VN,77.12,1.38,14.00,0.00,0.00,0.50,2.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,4.00,180,Worksharp,20,,8/3/2017,https://www.youtube.com/watch?v=5AWIOxsBZwI,,6,Worksharp,6,20
ZT,0220,CPM S35VN,77.12,1.38,14.00,0.00,0.00,0.50,2.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,4.00,194,Worksharp,20,,8/12/2017,https://www.youtube.com/watch?v=6axNu9ox1mE,,7,Worksharp,7,20
Kizer,V3 Vigor,CPM S35VN,77.12,1.38,14.00,0.00,0.00,0.50,2.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,4.00,210,Lansky,,"Toothy, stropped",1/13/2018,https://www.youtube.com/watch?v=2niHqG5rGYE,,1,Lansky,,
Kizer,V3 Vigor,CPM S35VN,77.12,1.38,14.00,0.00,0.00,0.50,2.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,4.00,265,Stones,,Polished,1/13/2018,https://www.youtube.com/watch?v=2niHqG5rGYE,,2,Other,,
